test_mass_kg,moment_arm_m,static_torque_nm,proof_factor,proof_torque_nm,sector_radius_m,proof_tendon_force_n,capstan_radius_m,proof_capstan_torque_nm
1,0.30,2.943,1.5,4.415,0.075,58.86,0.030,1.766
2,0.30,5.886,1.5,8.829,0.075,117.72,0.030,3.532
3,0.30,8.829,1.5,13.244,0.075,176.58,0.030,5.297
4,0.30,11.772,1.5,17.658,0.075,235.44,0.030,7.063
5,0.30,14.715,1.5,22.073,0.075,294.30,0.030,8.829
6,0.30,17.658,1.5,26.487,0.075,353.16,0.030,10.595
7,0.30,20.601,1.5,30.902,0.075,412.02,0.030,12.361
8,0.30,23.544,1.5,35.316,0.075,470.88,0.030,14.126
9,0.30,26.487,1.5,39.731,0.075,529.74,0.030,15.892
10,0.30,29.430,1.5,44.145,0.075,588.60,0.030,17.658

